fgi_bucket,account,trades,avg_pnl,total_pnl
neutral_fear,0x430f09841d65beb3f27765503d0f850b8bce7713,143,0.0,0.0
neutral_fear,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,386,-0.2924168445595856,-112.87290200000005
neutral_fear,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,948,166.1335981835443,157494.651078
neutral_fear,0x4f93fead39b70a1824f981a54d4e55b278e9f760,811,-47.095291655980276,-38194.281533
neutral_fear,0x513b8629fe877bb581bf244e326a047b249c4ff1,4532,61.24090960105914,277543.802312
neutral_fear,0x6d6a4b953f202f8df5bed40692e7fd865318264a,276,5.5825779239130435,1540.791507
neutral_fear,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,308,-189.02516967857144,-58219.752261
neutral_fear,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,204,324.9241642156863,66284.5295
neutral_fear,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,840,29.26192837380952,24580.019834
neutral_fear,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,139,0.3807408057553956,52.92297199999999
neutral_fear,0x8170715b3b381dffb7062c0298972d4727a0a63b,1090,106.77219873761469,116381.696624
neutral_fear,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,22,2.551805,56.13971
neutral_fear,0x8477e447846c758f5a675856001ea72298fd9cb5,1128,5.252638554078015,5924.976289
neutral_fear,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,29,-21.43258827586207,-621.54506
neutral_fear,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,297,2.9556234276094275,877.820158
neutral_fear,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,40,-412.075310875,-16483.012435
neutral_fear,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,78,71.99884224358975,5615.909695
neutral_fear,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,372,15.953502510752688,5934.702934
neutral_fear,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2263,17.187614141847106,38895.570803
neutral_fear,0xb899e522b5715391ae1d4f137653e7906c5e2115,2413,19.235034316618318,46414.137806
neutral_fear,0xbaaaf6571ab7d571043ff1e313a9609a10637864,7106,59.55311536405854,423184.437777
neutral_fear,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,944,80.61519140572034,76100.740687
neutral_fear,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,9107,6.067571172285056,55257.370666
unknown,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,6,7078.6656883333335,42471.99413
